[0.e+00 0.e+00 1.e+00 1.e+27]
[1.00000000e+00 1.76775192e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 3.21219316e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.27338026e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 1.87379046e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.67280956e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 3.40083188e+23 1.00000000e+00 3.40083000e+23]
[1.00000000e+00 1.59509016e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.58955014e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.58944653e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.58721628e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.58285595e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.58091649e+22 0.00000000e+00 0.00000000e+00]
[1.00e+00 1.58e+22 0.00e+00 0.00e+00]
[1.00000000e+00 1.57933158e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.57749542e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.57735469e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.57422913e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.57259085e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.57216624e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.5665724e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.56592528e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.56297731e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.55018027e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 1.96470455e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.54289576e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.54280114e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.53848736e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.53595081e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.53464539e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.53441234e+22 1.00000000e+00 1.53441234e+22]
[1.00000000e+00 1.53422169e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 2.17622554e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.67623072e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.60305754e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.6135537e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.67181474e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.66901549e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.66738217e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.66489468e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.66407967e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.66309378e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.6614328e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.66063316e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.65564071e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.65517612e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.65023382e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.65016752e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.64562022e+22 0.00000000e+00 0.00000000e+00]
[3.00000000e+00 2.73980813e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.64469346e+22 0.00000000e+00 0.00000000e+00]
[4.00000000e+00 4.47377192e+23 1.00000000e+00 4.11761192e+23]
[1.00000000e+00 1.63929802e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.63492838e+22 0.00000000e+00 0.00000000e+00]
